unique_video_name,original prompts,model,prompt length,naturalness_score,text_similarity,BLIP_SIM,inception score,MOS Alignment,MOS Perception,Average Mos,,,,,,,,
,,,,,,,,,,,,,,,,,,
In_a_futuristic_metropolis_a_detective_investigates_a_series_of_mysterious_cybernetic_crimes.aphantasia.mp4,In a futuristic metropolis a detective investigates a series of mysterious cybernetic crimes,Aphantasia,Long,0.70129216,0.403667809,0.331359596,72.52577107,4.285208333,4.254583333,4.269895833,,,,,,,,
,,,,,,,,,,,,,,,,,,
Very_sad_rabbit_cryingt2vzero.mp4,Very sad rabbit crying,ModelZero,Short,0.96942186,0.752042603,0.401066399,210.8344579,5.625208333,6.976666667,6.3009375,,,,,,,,
,,,,,,,,,,,,,,,,,,
Big_Indian_elephant_carries_tourists_in_the_jungle._.t2vsynthesis.mp4,Big Indian elephant carries tourists in the jungle,T2VSynthesis,Short,0.7638083,0.680727586,0.631959915,351.4111695,5.881875,7.081666667,6.481770834,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_serene_Japanese_garden_with_a_picturesque_bridge_over_a_tranquil_pond_filled_with_koi_fish.videofusion.mp4,A serene Japanese garden with a picturesque bridge over a tranquil pond filled with koi fish,Video_Fusion,Long,0.52560925,0.802160254,0.710759608,111.2943511,6.435416667,6.2825,6.358958334,,,,,,,,
,,,,,,,,,,,,,,,,,,
An_astronaut_stranded_on_a_distant_planet_discovers_a_hidden_civilization_with_advanced_technology._tuneavideo.gif,An astronaut stranded on a distant planet discovers a hidden civilization with advanced technology,Tune-a-Video,Long,0.92143124,0.669289829,0.649607182,105.8602491,4.137708333,5.262916667,4.7003125,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_figure_skater_in_red_costume_performs_a_routine_on_the_ice.aphantasia.mp4,A figure skater in red costume performs a routine on the ice,Aphantasia,Average,0.52358913,0.407859223,0.207858315,50.38517095,2.316041667,2.515833333,2.4159375,,,,,,,,
,,,,,,,,,,,,,,,,,,
Warm_golden_honey_slowly_drizzling_over_a_stack_of_fluffy_pancakes.t2vsynthesis.mp4,Warm golden honey slowly drizzling over a stack of fluffy pancakes,T2VSynthesis,Average,0.7190907,0.780235807,0.81027228,12.2087563,8.118541667,7.91375,8.016145834,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_bubbling_pot_of_melted_chocolate_ready_to_be_poured_over_a_decadent_cake.aphantasia.mp4,A bubbling pot of melted chocolate ready to be poured over a decadent cake,Aphantasia,Long,0.66319764,0.416998791,0.460225906,34.63346157,3.965625,3.04625,3.5059375,,,,,,,, 
,,,,,,,,,,,,,,,,,,
Vibrant_tribute_to_the_departed_during_Dia_de_los_Muertos.t2vzero.mp4,Vibrant tribute to the departed during Dia de los Muertos,ModelZero,Short,0.9746789,0.383144256,0.386639905,362.5253245,7.123125,7.544583333,7.333854167,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_child_blowing_out_birthday_candles.t2vsynthesis.mp4,A child blowing out birthday candles,T2VSynthesis,Short,0.766802,0.846966494,0.859053485,996.7032521,7.673541667,7.094583333,7.3840625,,,,,,,,
,,,,,,,,,,,,,,,,,,
Waves_crashing_against_the_rocky_shore.videofusion.mp4,Waves crashing against the rocky shore,Video_Fusion,Short,0.44438106,0.559636298,0.803875478,72.29518718,4.411875,6.449583333,5.430729167,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_young_prodigy_with_extraordinary_powers_must_protect_her_town_from_an_ancient_evil.videofusion.mp4,A young prodigy with extraordinary powers must protect her town from an ancient evil,Video_Fusion,Long,0.4448793,0.381196989,0.208415937,5.245670959,0.495208333,1.28625,0.890729167,,,,,,,,
,,,,,,,,,,,,,,,,,,
Surfers_catching_massive_waves._tuneavideo.gif,Surfers catching massive waves,Tune-a-Video,Short,0.85908234,0.434161499,0.804101825,6.808302307,5.078541667,5.04,5.059270834,,,,,,,,
,,,,,,,,,,,,,,,,,,
In_the_midst_of_a_lively_carnival_parade_samba_dancers_adorned_Rio_de_Janeiro.aphantasia.mp4,In the midst of a lively carnival parade samba dancers adorned Rio de Janeiro,Aphantasia,Long,0.46904296,0.410800173,0.132475948,183.1329186,3.862291667,3.134583333,3.4984375,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_living_room_features_a_black_and_white_chevron-patterned_floor.videofusion.mp4,A living room features a black and white chevron-patterned floor,Video_Fusion,Short,0.33344084,0.41632328,0.48652544,5.239054559,3.451875,4.039166667,3.745520834,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_group_of_dolphins_leaping_out_of_the_water_in_perfect_synchronization.aphantasia.mp4,A group of dolphins leaping out of the water in perfect synchronization,Aphantasia,Average,0.38695323,0.723215631,0.741276932,22.48622633,3.953541667,3.175416667,3.564479167,,,,,,,,
,,,,,,,,,,,,,,,,,,
In_the_depths_of_the_forest_a_shimmering_waterfall_cascaded_down_into_a_hidden_emerald_pool.aphantasia.mp4,In the depths of the forest a shimmering waterfall cascaded down into a hidden emerald pool,Aphantasia,Long,0.37702322,0.557004072,0.469011192,71.70106676,5.127291667,4.185,4.656145834,,,,,,,,
,,,,,,,,,,,,,,,,,,
"The_lighthouse_stood_tall,_guiding_lost_souls_back_to_the_shores_of_serenity.t2vzero.mp4","The lighthouse stood tall, guiding lost souls back to the shores of serenity",ModelZero,Long,0.94304675,0.655903102,0.539447212,160.6266993,6.993541667,6.9275,6.960520834,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_gymnast_executes_a_flawless_routine_on_the_balance_beam.t2vsynthesis.mp4,A gymnast executes a flawless routine on the balance beam,T2VSynthesis,Short,0.4560941,0.625624467,0.623323504,127.5406316,4.993541667,5.685,5.339270834,,,,,,,,
,,,,,,,,,,,,,,,,,,
Barack_Obama_in_white_suit_delivering_an_inspiring_speech_to_the_nation.t2vzero.mp4,Barack Obama in white suit delivering an inspiring speech to the nation,ModelZero,Average,0.9387879,0.613566858,0.691964722,49.96013402,6.102708333,6.47,6.286354167,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_hacker_unleashes_a_virus_that_infects_virtual_reality_systems_trapping_players_inside_a_nightmarish_never-ending_game.aphantasia.mp4,A hacker unleashes a virus that infects virtual reality systems trapping players inside a nightmarish never-ending game,Aphantasia,Long,0.4696986,0.401784558,0.299726982,19.86505379,3.828541667,3.9975,3.913020834,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_roller_coaster_ride_capturing_the_exhilarating_twists_and_turns_from_a_first-person_perspective.t2vsynthesis.mp4,A roller coaster ride capturing the exhilarating twists and turns from a first-person perspective,T2VSynthesis,Long,0.5873184,0.602802318,0.620743688,20.55073607,7.370208333,6.726666667,7.0484375,,,,,,,,
,,,,,,,,,,,,,,,,,,
An_old_witch_with_a_wart_on_her_nose_and_in_a_sharp_hat_brews_a_love_potion_from_fly_agaric.videofusion.mp4,An old witch with a wart on her nose and in a sharp hat brews a love potion from fly agaric,Video_Fusion,Long,0.7362907,0.649142561,0.569203631,21.13799721,6.227083333,6.565833333,6.396458333,,,,,,,,
,,,,,,,,,,,,,,,,,,
The_pyramids_of_giza_in_the_egyptian_desert._tuneavideo.gif,The pyramids of giza in the egyptian desert,Tune-a-Video,Short,0.8981227,0.847424443,0.843160868,73.71440814,8.167291667,7.593333333,7.8803125,,,,,,,,
,,,,,,,,,,,,,,,,,,
"A_dramatic_thunderstorm,_with_lightning_illuminating_the_dark_sky_and_rain_pouring_down_in_torrents.videofusion.mp4","A dramatic thunderstorm, with lightning illuminating the dark sky and rain pouring down in torrents",Video_Fusion,Long,0.3600384,0.701891038,0.613840739,561.4012136,6.025208333,6.635833333,6.330520833,,,,,,,,
,,,,,,,,,,,,,,,,,,
Elderly_woman_laughing_into_the_handset_of_a_vintage_telephone._.t2vsynthesis.mp4,Elderly woman laughing into the handset of a vintage telephone,T2VSynthesis,Short,0.8357642,0.712757653,0.765183322,27.56563777,7.758958333,6.646666667,7.2028125,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Lost_in_an_ancient_labyrinth,_searching_for_a_hidden_treasure_guarded_by_mythical_creatures.videofusion.mp4","Lost in an ancient labyrinth, searching for a hidden treasure guarded by mythical creatures",Video_Fusion,Long,0.64185864,0.392336791,0.352086322,582.1488486,3.027291667,3.512083333,3.2696875,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_field_of_sunflowers_stretching_as_far_as_the_eye_can_see_with_a_blue_sky_overhead._tuneavideo.gif,A field of sunflowers stretching as far as the eye can see with a blue sky overhead,Tune-a-Video,Long,0.83697945,0.835670529,0.90655005,81.15412788,7.951875,7.469583333,7.710729167,,,,,,,,
,,,,,,,,,,,,,,,,,,
"The_snowflakes_danced_in_a_delicate_ballet,_painting_the_landscape_in_a_blanket_of_white.t2vzero.mp4","The snowflakes danced in a delicate ballet, painting the landscape in a blanket of white",ModelZero,Long,0.87629837,0.64276482,0.583142138,4.233312361,6.716458333,6.92875,6.822604167,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_scientist_inventing_a_revolutionary_device_that_allows_humans_to_communicate_with_animals.videofusion.mp4,A scientist inventing a revolutionary device that allows humans to communicate with animals,Video_Fusion,Long,0.2859401,0.397702709,0.390580654,18.96379906,5.023125,4.955833333,4.989479167,,,,,,,,
,,,,,,,,,,,,,,,,,,
Skaters_effortlessly_gliding_through_the_skate_park.videofusion.mp4,Skaters effortlessly gliding through the skate park,Video_Fusion,Short,0.82130754,0.665248701,0.77812411,6.013791108,7.380416667,6.63625,7.008333334,,,,,,,,
,,,,,,,,,,,,,,,,,,
Lost_in_an_ancient_labyrinth_searching_for_a_hidden_treasure_guarded_by_mythical_creatures.t2vsynthesis.mp4,Lost in an ancient labyrinth searching for a hidden treasure guarded by mythical creatures,T2VSynthesis,Long,0.43770176,0.441264685,0.361541526,990.5591974,5.181041667,5.51875,5.349895834,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_house_made_entirely_of_candy_and_chocolate.aphantasia.mp4,A house made entirely of candy and chocolate,Aphantasia,Short,0.49753606,0.70613079,0.43121109,23.7832328,6.650208333,5.185,5.917604167,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hikers_conquering_a_challenging_mountain_peak.aphantasia.mp4,Hikers conquering a challenging mountain peak,Aphantasia,Short,0.29100454,0.613291801,0.61174942,21.92116951,6.203541667,5.039166667,5.621354167,,,,,,,,
,,,,,,,,,,,,,,,,,,
Autumn_leaves_falling_from_trees._tuneavideo.gif,Autumn leaves falling from trees,Tune-a-Video,Short,0.82827324,0.580697466,0.636697471,9.817258673,5.640625,6.157083333,5.898854167,,,,,,,,
,,,,,,,,,,,,,,,,,,
Two_flight_attendants_fight_in_the_cabin.aphantasia.mp4,Two flight attendants fight in the cabin,Aphantasia,Short,0.3620572,0.394007216,0.341703835,17.7913284,0.806041667,1.351666667,1.078854167,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_fire_crackling_in_a_fireplace.t2vzero.mp4,A fire crackling in a fireplace,ModelZero,Short,0.86645,0.780127893,0.767563677,26.02565558,6.273541667,5.969583333,6.1215625,,,,,,,,
,,,,,,,,,,,,,,,,,,
The_clock_tower_struck_twelve_and_the_city_transformed_into_a_whimsical_wonderland._tuneavideo.gif,The clock tower struck twelve and the city transformed into a whimsical wonderland,Tune-a-Video,Long,0.93239427,0.763509429,0.44158861,78.23545818,3.112291667,3.407916667,3.260104167,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_person_practicing_martial_arts_with_focus_and_determination.aphantasia.mp4,A person practicing martial arts with focus and determination,Aphantasia,Short,0.4863547,0.404558118,0.349865227,39.90158546,5.653958333,4.351666667,5.0028125,,,,,,,,
,,,,,,,,,,,,,,,,,,
In_a_burst_of_fireworks_dragon_parades_breathe_life_into_the_vibrant_fabric_of_chinese_new_year._tuneavideo.gif,In a burst of fireworks dragon parades breathe life into the vibrant fabric of chinese new year,Tune-a-Video,Long,0.9493061,0.619340717,0.574955881,63.93910523,6.639791667,6.512916667,6.576354167,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_young_prodigy_with_extraordinary_powers_must_protect_her_town_from_an_ancient_evil.t2vzero.mp4,A young prodigy with extraordinary powers must protect her town from an ancient evil,ModelZero,Long,0.93326837,0.38994244,0.275292683,17.48484132,6.416875,6.467916667,6.442395834,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_girl_wearing_two_pairs_of_sunglasses.t2vzero.mp4,A girl wearing two pairs of sunglasses,ModelZero,Short,0.9197078,0.858285208,0.790698528,480.5999828,5.535208333,7.10875,6.321979167,,,,,,,,
,,,,,,,,,,,,,,,,,,
Surreal_desert_landscape_inspired_by_Dalis_art.aphantasia.mp4,Surreal desert landscape inspired by Dalis art,Aphantasia,Short,0.6098247,0.69473705,0.630575027,80.67823485,5.785208333,5.022916667,5.4040625,,,,,,,,
,,,,,,,,,,,,,,,,,,
Elderly_woman_laughing_into_the_handset_of_a_vintage_telephone._t2vzero.mp4,Elderly woman laughing into the handset of a vintage telephone,ModelZero,Short,0.9083143,0.688020595,0.823153687,9.852023401,7.299791667,7.330833333,7.3153125,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_slow-motion_shot_of_a_professional_athlete_performing_an_incredible_feat.videofusion.mp4,A slow-motion shot of a professional athlete performing an incredible feat,Video_Fusion,Average,0.6232487,0.402466348,0.349024645,22.88600238,5.224375,4.9475,5.0859375,,,,,,,,
,,,,,,,,,,,,,,,,,,
A_group_of_explorers_discovering_ancient_ruins_in_the_heart_of_a_dense_jungle.videofusion.mp4,A group of explorers discovering ancient ruins in the heart of a dense jungle,Video_Fusion,Long,0.39782834,0.595272285,0.46028738,65.54598636,6.212291667,5.56,5.886145834,,,,,,,,
,,,,,,,,,,,,,,,,,,
Elderly_woman_laughing_into_the_handset_of_a_vintage_telephone._tuneavideo.gif,Elderly woman laughing into the handset of a vintage telephone,Tune-a-Video,Short,0.8942802,0.7017088,0.639372706,31.6607036,6.182708333,6.1225,6.152604167,,,,,,,,
,,,,,,,,,,,,,,,,,,
